url_detalle,cargo_especifico,empresa_nombre,ubicacion_provincia,salario_mensual_base,experiencia_requerida,menciones_tecnologia,tipo_contrato,jornada,educacion_minima,modalidad
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-trabaja-5-hrs-de-lunes-a-viernes-como-asesor-ventas-call-center-cs-exp-presencial-surco-o-sjl-sueldo-fijo-bonos-se-parte-de-claro-en-san-juan-de-miraflores-4827533589CDBE3261373E686DCF3405,Trabaja 5 Hrs de Lunes a Viernes como Asesor Ventas Call Center C/S Exp Presencial Surco o Sjl,Importante empresa del sector,"San Juan De Miraflores, Lima",,,3,Contrato por Inicio o Incremento de Actividad,Parcial,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comercial-con-experiencia-en-call-center-gran-oportunidad-laboral-unete-a-nuestro-equipo-y-asegura-tu-futuro-en-lima-01378B64799A28FB61373E686DCF3405,Asesor Comercial con experiencia en Call Center,iTALK,"Lima, Lima",1130.0,1.0,3,Contrato por Inicio o Incremento de Actividad,Completa,universitario,Remoto
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-ventas-automotriz-sede-los-olivos-en-los-olivos-A7ABF734ED8674A461373E686DCF3405,Asesor de Ventas Automotriz,MAQUIJAAMSA,"Los Olivos, Lima",,2.0,4,Contrato a Plazo Indeterminado,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-comercial-arquitectura-e-ingenierias-en-miraflores-FF7EAD72F75E854461373E686DCF3405,Asesor Comercial,INSIGNE,"Miraflores, Lima",,2.0,4,Contrato por Necesidades del Mercado,Completa,técnico,Híbrido
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-de-atencion-al-cliente-redes-sociales-planilla-win-sueldo-variables-remoto-en-san-isidro-27BE68E7534C139961373E686DCF3405,Asesor de Atención al Cliente / Redes Sociales / Planilla WIN / Sueldo + Variables / Remoto,WIN,"San Isidro, Lima",,,3,Contrato por Inicio o Incremento de Actividad,Completa,educación secundaria,Remoto
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-solo-7horas-asesor-de-atencion-movilidad-gratis-descanso-fijos-bonos-comisiones-sueldo-y-beneficios-de-ley-movilidad-gratis-en-lima-51A874475A68F97761373E686DCF3405,Solo 7horas/ Asesor de Atención + Movilidad gratis/ Descanso fijos/ Bonos + comisiones,"4,3Konecta","Lima, Lima",1130.0,,4,Contrato por Inicio o Incremento de Actividad,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-educativo-norbert-winner-sueldo-fijo-s1500-altas-comisiones-tman-o-tar-planilla-completa-firma-de-contrato-inmediato-sede-centro-de-lima-en-lima-65733F1154B452DD61373E686DCF3405,Asesor Educativo Norbert Winner Sueldo Fijo s/1500 + altas comisiones T/Mañ ó Tar /Planilla Completa,TALENTOS CQ E.I.R.L.,"Lima, Lima",1500.0,,3,Contrato por Inicio o Incremento de Actividad,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-telefonico-atencion-al-cliente-sistema-pensionario-part-time-sistema-pensionario-en-chorrillos-17A393D24D40F5F561373E686DCF3405,Asesor telefónico / atención al cliente / Sistema Pensionario / Part time,Abai Business Solutions,"Chorrillos, Lima",,,4,Contrato por Necesidades del Mercado,Parcial,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-call-center-san-juan-de-miraflores-en-san-juan-de-miraflores-0DDAF1564DBADD8361373E686DCF3405,Asesor Call Center,CHICHARRONES KIO,"San Juan De Miraflores, Lima",1130.0,,4,Contrato por Necesidades del Mercado,Completa,educación secundaria,Presencial
https://pe.computrabajo.com/ofertas-de-trabajo/oferta-de-trabajo-de-asesor-call-center-scotiabank-ingreso-directo-comisiones-ilimitadas-incentivos-bonos-capacitacion-pagada-y-corta-en-lima-74854AD38A78413161373E686DCF3405,Asesor call center / Scotiabank / Ingreso directo,"4,3Salesland Pacífico","Lima, Lima",,,3,Contrato por Obra Determinada o Servicio Específico,Completa,educación secundaria,Presencial
