id_oferta,cargo,empresa,ciudad,salario_publicado,salario_mensual_base,segmento_salarial,experiencia_requerida,nivel_experiencia,educacion_minima,educacion_minima_valor,modalidad,es_remoto,es_presencial,tipo_contrato,jornada,tiempo_parcial,menciones_tecnologia
45471647AD6E8D6661373E686DCF3405,Analista (General),Importante empresa del sector,Surco,0,,,5,Senior,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
1908963CBCCFFD0C61373E686DCF3405,Analista de Calidad / SSOMA,BIOCENTER NATURAL,Puente Piedra,1,1200.0,Medio,0,Junior,universitario,4,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,3
EDF8F4EE9554661261373E686DCF3405,Analista de Marketing,POLIFOOD SAC,Lurigancho,0,,,2,Mid-Level,técnico,3,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,4
1309B98072EE0C3C61373E686DCF3405,Analista (General),SSEINFORMATICA EIRL,Chorrillos,0,,,2,Mid-Level,técnico,3,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,5
4FBC16AD327EE9F061373E686DCF3405,Analista de Contabilidad / Nóminas,SALERM COSMETICS,Ate,0,,,3,Mid-Level,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
D12F590A9BC45CD161373E686DCF3405,Analista (General),TEIGA TMI,Santa Anita,1,1600.0,Alto,0,Junior,educación secundaria,2,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,3
EBAF244D57C82B3C61373E686DCF3405,Analista (General),Importante empresa del sector,Chorrillos,0,,,3,Mid-Level,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,3
0027A840D342CC5861373E686DCF3405,Analista (General),Importante empresa del sector,Carabayllo,0,,,3,Mid-Level,universitario,4,Presencial,0,1,Contrato por Obra Determinada o Servicio Específico,Completa,0,4
5C81B0AAFCA483BF61373E686DCF3405,Analista de Contabilidad / Nóminas,Importante empresa del sector,Lima,0,,,0,Junior,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
F92848EFA9D06B0B61373E686DCF3405,Analista de Comercial / Ventas,JLV CONSULTORES,La Molina,0,,,5,Senior,universitario,4,Presencial,0,1,Contrato de Suplencia,Completa,0,4
6AD3FB5B88AEDA3561373E686DCF3405,Analista (General),PLUMAS,Chorrillos,1,2900.0,Alto,2,Mid-Level,universitario,4,Presencial,0,1,Contrato por Inicio o Incremento de Actividad,Completa,0,4
ACA1BDD0B82C20DE61373E686DCF3405,Analista (General),Laboratorios Americanos S.A.,Lurin,0,,,1,Junior,universitario,4,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,3
19084697B388906C61373E686DCF3405,Analista (General),Gloria,Lurigancho,0,,,0,Junior,técnico,3,Presencial,0,1,Contrato a Plazo Indeterminado,Completa,0,3
E8BEBFD094A3118061373E686DCF3405,Analista de Contabilidad / Nóminas,KIDS MADE HERE,San Luis,1,2000.0,Alto,3,Mid-Level,universitario,4,Presencial,0,1,Contrato por Necesidades del Mercado,Completa,0,4
